population,RAYON,NOTE,geometry
328.0,Наурызбайский,сад.тов.Маловодное - сад.тов.Садовод - сад.тов.Госснаб (Абайские дачи),POINT (76.78135501383916 43.21034261816418)
314.0,Наурызбайский,сад.тов.Алма - ул.Малиновая - ул.Вишневая - ПКСК Маловодное,POINT (76.77781349092646 43.21090147893085)
513.0,Ауэзовский,мкр.Таугуль- 3 ул.Шайкенова мкр.Таугуль-3 - ул.Тополевая мкр.Таугуль-3,POINT (76.85624024464552 43.1966633112241)
108.0,Турксибский,"Чехова,Чернышевского,Сейфуллина,Аймауытова",POINT (76.94310404029038 43.331903487421)
176.0,Наурызбайский,сад.тов.Казгипрозем - сад.тов.Рассвет - ул.Красная - ул.Зеленая,POINT (76.78279285719617 43.20782595285799)
86.0,Наурызбайский,сад.тов.Авторкмбаза - сад.тов.Школа 19,POINT (76.77991066560037 43.207859870072234)
387.0,Наурызбайский,сад.тов.Наурыз (Абайские дачи),POINT (76.77539185560693 43.21058186983421)
425.0,Наурызбайский,сад.тов.Ракета - сад.тов.Наурыз - сад.тов.Институт,POINT (76.77791483619283 43.20551414424406)
126.0,Турксибский,сейфуллина- чернышевского-сауранбаева-аймауытова,POINT (76.94488678840366 43.33134398059607)
348.0,Турксибский,Щербакова- Молдагалиева-Чехова-Чернышевского,POINT (76.94207859675961 43.33369942609858)
653.0,Наурызбайский,ул.Коктерек - ул.Байконыр мкр.Акжар - ул.Береке мкр.Акжар,POINT (76.79645500281634 43.20907581165902)
355.0,Турксибский,Чехова- Молдагалиева- Сейфуллина- Чернышевского,POINT (76.94379977686253 43.33316786580818)
952.0,Турксибский,"сейфуллина, молдагалиева,сауранбаева,чернышевского",POINT (76.9456085128506 43.33260795924495)
2437.0,Ауэзовский,мкр.Аксай-4,POINT (76.83595732819593 43.229163997102134)
200.0,Турксибский,ул.Аймауытова- ул.Акан Серы- ул.Майбороды- ул.Акынов,POINT (76.94916344679511 43.32785548433081)
1179.0,Ауэзовский,ул.Жазылбека - ул.Саина - ул.Аскарова - сад.тов.Садовод ,POINT (76.86569124275398 43.199189635893866)
111.0,Турксибский,аймауытова- сейфуллина-физкультурная-чехова,POINT (76.94240515179287 43.33066093246981)
393.0,Наурызбайский,сад.тов.Ракета,POINT (76.77984909104879 43.20088979485944)
434.0,Ауэзовский,ул.Шайкенова мкр.Таугуль- 3 - ул.Нурмаханова мкр.Таугуль-3 -  ул.Тополевая мкр.Таугуль-33  ,POINT (76.86078927371416 43.19696389101927)
315.0,Наурызбайский,сад.тов.Нерудник-сад.тов.Химик- ул.Строительная- сад.тов.Ветеран,POINT (76.78493940622216 43.19929364816349)
249.0,Наурызбайский,ул.Строительная- ул.Тараз (Акжар)- ул.Саттилик (Акжар)- ул.Аккол (Акжар),POINT (76.79023926126017 43.201136141995256)
1739.0,Алмалинский,ул.Карасай батыра - ул.Брусиловского - ул.Кулымбетова - ул.Прокофьева,POINT (76.87617059603501 43.245642209006974)
933.0,Алмалинский,пр.Райымбека - ул.Туркебаева - ул.Брусиловского,POINT (76.87654161024264 43.2566064979151)
289.0,Ауэзовский,ул.Яссауи мкр.Достык - ул.Кеменгер мкр.Достык - ул.Садвакасова мкр.Достык - ул.Аккогершин мкр.Достык,POINT (76.82943426426971 43.22917490664453)
363.0,Ауэзовский,ул.Яссауи мкр.Достык - ул.Серегина мкр.Достык - ул.Садвакосова мкр.Достык -  ул.Кеменгер мкр.Достык,POINT (76.82878296944914 43.230801509816715)
200.0,Турксибский,аймауытова- сауранбаева-чернышевского-толстого,POINT (76.94668165787249 43.330775256658626)
284.0,Ауэзовский,ул.Яссауи мкр.Достык - ул.Серегина мкр.Достык  - ул.Садвакасова мкр.Достык  - ул.Ташкентская мкр.Достык,POINT (76.82821791317326 43.23257089983536)
115.0,Турксибский,акынов- чернышевского-акан серы-аймауытова,POINT (76.95034873090664 43.329691597113744)
341.0,Турксибский,Толстого- Аймауытова-Акынов-Майбороды,POINT (76.94740879786877 43.328397422863226)
85.0,Наурызбайский,мкр.Калкаман- 2,POINT (76.81766909284362 43.209540789036645)
3001.0,Ауэзовский,мкр.Аксай-3Б,POINT (76.82241262190507 43.23599702909164)
253.0,Наурызбайский,ул.Нурпеисова - ул.Аспандиярова,POINT (76.82467826035605 43.21217029069353)
787.0,Наурызбайский,ул.Арман - ул.Айтей батыра - ул.Аспандиярова - ул.Нурпеисова,POINT (76.82027528750257 43.21429866422433)
507.0,Наурызбайский,мкр.Шугыла - мкр.Таусамалы,POINT (76.81271234672789 43.20645564028438)
237.0,Наурызбайский,ул.Шаляпина- р. Каргалы- ул.Бакыт мкр.Мейрам- ул.Кыран мкр.Мейрам,POINT (76.8329952193149 43.20592702303673)
558.0,Наурызбайский,ул.Шаляпина- ул.Мусабаева (Калкаман-2)- ул.Тайжан (Калкаман-2)- ул.Аргынбаева мкр.Калкаман-2,POINT (76.82918713323524 43.20416569248056)
408.0,Наурызбайский,ул.Шаляпина- ул.Усенова (Калкаман-2)- ул.Аргынбаева (Калкаман-2)- ул.Тайжан мкр.Калкаман-2,POINT (76.82572366782195 43.202539845702944)
291.0,Турксибский,аймауытова- акан серы-чернышевского-станкевича,POINT (76.95217171136873 43.32913290140261)
407.0,Наурызбайский,ул.Мусабаева - ул.Илтипат мкр.Достык,POINT (76.82965528907961 43.209610962664094)
555.0,Наурызбайский,ул.Нурпеисова - ул.Рипинского - ул.Рымжанова - ул.Кыдырова - ул.Абилова,POINT (76.82376590776458 43.20808300555234)
266.0,Наурызбайский,ул.Абирова - ул.Кыдырова - ул.Нурпеисова - ул.Рипинского - ул.Рымжанова,POINT (76.825398157582 43.20587996462088)
1361.0,Ауэзовский,ул.Щепеткова - Мануильского - Юбилейная - Джандосова,POINT (76.8791107955349 43.22171863392002)
362.0,Наурызбайский,ул.Талжанова - ул.Каракулова - ул.Ашимова,POINT (76.81967120448878 43.20549325578003)
288.0,Турксибский,ул.Акан Серы- Майбороды-Ганибет-Разина,POINT (76.95057019145447 43.32481690994995)
256.0,Турксибский,сауранбаева- молдагалиева-толстого чернышевского,POINT (76.94743954538195 43.33205087384447)
503.0,Наурызбайский,ул.Ашимова (Калкаман- 2)- ул.Шаляпина- ул.Усенова (Калкаман-2)- ул.Тайжан мкр.Калкаман-2,POINT (76.82249961483383 43.2011346954088)
584.0,Наурызбайский,ул.Тайжан (Калкаман-2)- ул.Кыдырова (Калкаман-2)- ул.Кемесбаева мкр.Калкаман-2- ул.Ашимова мкр.Калкаман-2,POINT (76.82588878392139 43.19837602996243)
1.0,Алмалинский,пр.Райымбека - ул.Тургута Озала - ул.Туркебаева,POINT (76.87868023382103 43.256660233156154)
606.0,Наурызбайский,ул.Тайжан мкр.Калкаман 2- ул.Буланды мкр.Каменка-3- ул.Кенесбаева (Калкаман-2)- ул.Кыдырова (Калкаман-2),POINT (76.83118499615613 43.20090509488401)
140.0,Турксибский,ул.Акан Серы- Разина-Ганибет-Буденного,POINT (76.949800131821 43.32338857997899)
420.0,Турксибский,"ул.Акан Серы-,Буденного,Ганибет,Стахановская",POINT (76.94901888432406 43.32196675747355)
304.0,Турксибский,"акан серы, стахановская,ганибет.декабристов",POINT (76.94793774271852 43.320122875713906)
63.0,Турксибский,Майбороды- Акан Серы-Аймауытова-Ганибет,POINT (76.9518564880053 43.32705151814558)
428.0,Турксибский,молдагалиева- акан серы-чернышевского-Акынов,POINT (76.95100605412816 43.3309830277935)
118.0,Жетысуский,ул.Логовая- ул.Бурундайская,POINT (76.93133065046948 43.342572001815995)
576.0,Жетысуский,мкр.Кокжие- ул.Талант,POINT (76.91723850692841 43.3554444756448)
188.0,Жетысуский,мкр.Кокжиек- ул.Талант,POINT (76.92219465123769 43.354325590061734)
963.0,Турксибский,молдгалаиева- акынов-чернышевского-толстого,POINT (76.94918819066766 43.3315484726936)
525.0,Турксибский,Щербакова- Шолохова-чехова-молдагалиева,POINT (76.94311826727538 43.33567447472201)
1164.0,Турксибский,сейфуллина- шолохова-толстого-молдагалиева,POINT (76.9476398730508 43.3343145999216)
82.0,Жетысуский,ул.Воронежская- ул.Павлодарская,POINT (76.92144734048237 43.33696878526824)
114.0,Жетысуский,ул.Крыжицкого,POINT (76.92164317381068 43.33802770316703)
151.0,Жетысуский,ул.Бурундайская- ул.Кирпичный завод,POINT (76.92897707752127 43.345344568077394)
264.0,Жетысуский,ул.Бурундайская- ул.Логовая,POINT (76.9313222342255 43.34487579481354)
291.0,Жетысуский,ул.Павлодарская- ул.Логовая- ,POINT (76.92783235946906 43.34303268803106)
124.0,Медеуский,ул.САРСЕНБАЕВА,POINT (76.99234731592001 43.26339914090729)
251.0,Медеуский,ул.ТАТИБЕКОВА- ул.БЕСТУЖЕВА- ул.ПОГОДИНА- ул.КАРАТАЛЬСКАЯ,POINT (76.97137849316749 43.280089890884256)
234.0,Медеуский,ул.ГУРИЛЕВА- ул.Халлиулина-р.Жарбулак (Казачка)- ул.БЕИМБЕТОВА,POINT (76.98141940161214 43.284873161938215)
361.0,Медеуский,мкр.Атырау,POINT (76.99174825122438 43.29579765677006)
194.0,Медеуский,ул.САЗАНОВСКАЯ- ул.БЕИМБЕТОВА- ул.ПОЛЕТАЕВА- ул.ЭКИБАСТУЗСКАЯ,POINT (76.97628342214759 43.28854644275491)
454.0,Медеуский,ул.САРБАЙСКАЯ- ул.БЕИМБЕТА- ул.ЧАПЛИНА-р.Жарбулак (Казачка)- ул.ЧАПЛИНА,POINT (76.98338357756752 43.287304504744974)
309.0,Медеуский,сад.тов.ЖЕТЫСУ,POINT (76.98905281601562 43.29041440502889)
110.0,Медеуский,Талгарский тракт- Кульджинский тракт,POINT (76.98992318946452 43.28700428818896)
760.0,Медеуский,ул.Карбышева- ул.Целиноградская- ул.РУДЗУТАКА- ул.БРИГАДНАЯ,POINT (76.99083940809066 43.279955949670466)
516.0,Медеуский,ул.БРИГАДНАЯ- ул.ЖИРЕНШЕ(Думан),POINT (76.99463393587833 43.280339459613145)
328.0,Медеуский,ул.БРИГАДНАЯ- ул.ЖИРЕНШЕ(Думан),POINT (76.99522835447642 43.27849534851782)
400.0,Медеуский,ул.РУДЗУТАКА- ул.Целиноградская- ул.МОРОЗОВА- ул.БРИГАДНАЯ,POINT (76.99243288591481 43.27818577326976)
352.0,Медеуский,Восточная объездная дорога- ул.Луговая - ул.Рудзутака- ул.Онеге- ул.Карбышева- р.Ботбасай (Широкая Щель),POINT (76.98570886388643 43.2755750928232)
299.0,Медеуский,ул.Украинская- р.Ботбасай (Широкая Щель)- ул.ГОВОРОВА- ул.ИСТОМИНА- ул.РУДЗАКА-,POINT (76.98817777681987 43.273566870224435)
352.0,Медеуский,ул.ГОВОРОВА- ул.ВЕРНЕНСКАЯ- ул.ИСТОМИНА,POINT (76.99035116868984 43.27164497121072)
235.0,Медеуский,Восточная объездная дорога- ул.Украинская- ул.Луговая,POINT (76.98595620123736 43.272686378098086)
304.0,Медеуский,ул.УКРАИНСАЯ- ул.ГЛУБОКАЯ- ул.ГОВОРОВА-р.Ботбасай (Широкая Щель),POINT (76.9876426178042 43.27092275327222)
271.0,Медеуский,Восточная объездная дорога- ул.Иштван Коныра- ул.Карбышева- ул.Целиноградская,POINT (76.98631515806969 43.2793222400068)
253.0,Медеуский,ул.Аныракай(Думан)- ул.Акмешит(Думан)- ул.Тарбагатай(Думан)- ул.Бишкек(ДУМАН),POINT (77.00359891702949 43.278983489716786)
191.0,Медеуский,ул.Бишкек(Думан)- ул.Алатау(Думан)- ул.Акмешит(Думан),POINT (77.0036086499359 43.27572314690539)
285.0,Медеуский,Талгарский тракт- ул.Халлиулина,POINT (77.01456139611008 43.29407512719028)
141.0,Алатауский,мкр.Карасу,POINT (76.90915922031621 43.33742291576395)
541.0,Алатауский,мкр.Ожет,POINT (76.89417751308386 43.32545943202073)
956.0,Бостандыкский,пр.Абая- пр.Назарбаева-  ул.Сатпаева- ул.БАЙСЕИТОВОЙ,POINT (76.9467570119793 43.240386964982726)
298.0,Алатауский,мкр.Ожет,POINT (76.89058943411405 43.32787219977349)
558.0,Алатауский,мкр.Айгерим- 2,POINT (76.83604186521293 43.26728242316591)
1694.0,Бостандыкский,ул.Сатпаева- ул.Байтурсынова- бульвар Бухар Жырау- ул.Шагабутдинова,POINT (76.92458422842664 43.23553436834605)
1906.0,Бостандыкский,пр.Абая- Сейфуллина пр.-  ул.Сатпаева- ул.МАСАНЧИ,POINT (76.93279913642085 43.23943537548571)
435.0,Бостандыкский,пр.Абая- ул.Желтоксан- ул.Сатпаева- ул.Наурызбай батыра,POINT (76.93969486746629 43.23988559593455)
1115.0,Турксибский,толстого- шолохова-акан серы-молдагалиева,POINT (76.95123364498997 43.33321793526672)
891.0,Турксибский,"акан серы. шолохова,станкевича,Молдагалиева",POINT (76.95390675495463 43.33243326490584)
248.0,Турксибский,Шолохова- Стасова,POINT (76.95685688349845 43.331525993201964)
117.0,Бостандыкский,ул.Сатпаева- ул.Желтоксан- ул.Тимирязева- ул.Наурызбай батыра,POINT (76.94005986087481 43.236352191545464)
407.0,Бостандыкский,Сейфуллина пр.- ул.Тимирязева- ул.Желтоксан- ул.Кирпичнозаводская 5-ая- ул.Каратаева,POINT (76.94071784673008 43.2329440879811)
1529.0,Бостандыкский,ул.Сатпаева- Сейфуллина пр.- ул.Габдуллина- ул.Байтурсынова,POINT (76.93169525484345 43.2361258308074)
360.0,Турксибский,"ул.Акан серы, молдагалиева,станкевича,чернышевского",POINT (76.9528186596666 43.33045876665673)
1141.0,Бостандыкский,ул.Габдуллина- ул.Байтурсынова- ул.Тимирязева- ул.Маркова,POINT (76.93117184631791 43.23156158005587)
421.0,Бостандыкский,ул.Тимирязева- ул.БАЛЬЗАКА- ул.ПОПОВА-р.Есентай,POINT (76.92905101121801 43.225370786786556)
1132.0,Бостандыкский,ул.Тимирязева- Сейфуллина пр.- ул.ПОПОВА- ул.Маркова,POINT (76.93487626318907 43.229553112155415)
304.0,Турксибский,ул.Байкальская- ул.Ашхабадская- ул.Стасова- ул.Суюнбая,POINT (76.95732458218221 43.32639739263078)
1277.0,Бостандыкский,пр.Абая- ул.БИОКОМБИНАТ- ул.Сатпаева- ул.МАНАСА,POINT (76.91031323203363 43.23793998451591)
1200.0,Бостандыкский,пр.Абая- ул.Ауэзова- ул.МЫНБАЕВА- ул.Жарокова,POINT (76.90182140865 43.23826376156457)
383.0,Турксибский,ул.Байкальская- ул.Чкалова- ул.Ганибет- ул.Ашхабадская,POINT (76.95438079047554 43.32561691121203)
877.0,Бостандыкский,пр.Абая- ул.Жарокова- ул.МЫНБАЕВА-Гагарина пр.,POINT (76.89733231590797 43.23795448586275)
816.0,Турксибский,свирская- акан серы-декабристов-ганибет,POINT (76.94653763408253 43.31778529603206)
457.0,Бостандыкский,пр.Абая- Гагарина пр.-  ул.МЫНБАЕВА- ул.Розыбакиева,POINT (76.89213704608763 43.237586271103105)
1241.0,Бостандыкский,бульвар Бухар Жырау- ул.МАНАСА- ул.Габдуллина- ул.Ауэзова,POINT (76.90757753002539 43.22958760058038)
76.0,Турксибский,ганибет- декабристов-чимкентская-челюскина,POINT (76.94964770248716 43.31798770425267)
169.0,Турксибский,"ганибет,стахановская,чимкентская,декабристов",POINT (76.95047619217677 43.31940407335156)
397.0,Бостандыкский,бульвар Бухар Жырау- бульвар Мусрепова-  ул.Габдуллина- ул.Байзакова,POINT (76.91711682015854 43.23015273108188)
145.0,Турксибский,ганибет- Буденного-Чимкентская-Чкалова,POINT (76.95251495552587 43.32306884252116)
1813.0,Бостандыкский,бульвар Бухар Жырау- ул.Ауэзова- ул.Габдуллина- ул.Жарокова,POINT (76.90298711059425 43.229290064602885)
91.0,Турксибский,Чимкентская- Разина-Байкальская-Буденного,POINT (76.95397450624836 43.322096534224386)
1654.0,Бостандыкский,пр.Абая- ул.ТЛЕНДИЕВА- ул.Сатпаева-р.Большая Алматинка,POINT (76.8741140849619 43.23379704745818)
1575.0,Бостандыкский,ул.Сатпаева- ул.Розыбакиева- ул.Солодовникова- ул.Егизбаева,POINT (76.88811157955249 43.23350376919657)
75.0,Турксибский,узунагачская- Ганибет-челюскина-чимкентская,POINT (76.94918375913475 43.31709805696599)
1197.0,Бостандыкский,ул.Егизбаева- ул.Розыбакиева- ул.Джандосова- ул.ТАЖИБАЕВОЙ,POINT (76.88956972149015 43.228320147218696)
2241.0,Бостандыкский,ул.Джандосова- ул.Ауэзова-бульвар Бухар Жырау- ул.Жарокова,POINT (76.9028586048999 43.23193383629096)
865.0,Бостандыкский,ул.МЫНБАЕВА- ул.Егизбаева- ул.Сатпаева- ул.ТУРГУТА ОЗАЛА,POINT (76.88448568331934 43.23517652606373)
76.0,Турксибский,Чимкентская- Буденного-Байкальская-Джапаридзе,POINT (76.95347510706681 43.3211844611642)
100.0,Турксибский,Чимкентская- Джапаридзе-Байкальская-,POINT (76.95297511610906 43.320304187580525)
136.0,Бостандыкский,ул.ТУРКЕБАЕВА- ул.Сатпаева- ул.Егизбаева,POINT (76.88410755369294 43.232744416770245)
5.0,Бостандыкский,ул.ТЛЕНДИЕВА- ул.Сатпаева- ул.ТУРКЕБАЕВА,POINT (76.87978627617589 43.232586254326414)
1517.0,Бостандыкский,ул.Егизбаева- ул.ТАЖИБАЕВОЙ- ул.ТУРКЕБАЕВА- ул.ТУРГУТА ОЗАЛА,POINT (76.88516468202387 43.22864406918733)
913.0,Бостандыкский,ул.Джандосова- ул.Розыбакиева- ул.Тимирязева,POINT (76.89007023667394 43.22568002715433)
1420.0,Бостандыкский,ул.АЙМАНОВА- ул.ДЖАНДАРБЕКОВА- ул.Жарокова- ул.Тимирязева,POINT (76.89944426461966 43.22757783824459)
11.0,Жетысуский,шоссе Северное кольцо,POINT (76.89487075289185 43.29558560809363)
577.0,Бостандыкский,ул.Джандосова- ул.АЙМАНОВА- ул.РАДОСТОВЦА,POINT (76.89602853995004 43.22914726941307)
90.0,Турксибский,,POINT (76.94845669609983 43.31617683193159)
169.0,Турксибский,Акан Серы- Свирская- Международная- Баканасская,POINT (76.94577397663197 43.31599012350991)
75.0,Турксибский,акан серы- терехина-эстонская,POINT (76.94490544805075 43.31518696983535)
109.0,Турксибский,,POINT (76.94500341632887 43.31422088281827)
115.0,Бостандыкский,ул.Жарокова- ул.Тимирязева-ЦДС Атакент,POINT (76.90369490744777 43.22408609274203)
140.0,Турксибский,ул.Баканасская- ул.Международная- ул.Вековая- ул.Терехина,POINT (76.9462494386872 43.31519162238524)
182.0,Турксибский,"Терехина,Вековая,Международная,Дулатова Мыпжакыпа",POINT (76.94641752762423 43.314080393581676)
2724.0,Жетысуский,мкр.Айнабулак,POINT (76.92065756062397 43.328548837974125)
301.0,Бостандыкский,ул.Тимирязева- р.Есентай-Территория Университета КАЗНУ им.Аль-ФараЬ-ФАРАБИ,POINT (76.92145848289114 43.225622660324746)
2764.0,Бостандыкский,ул.Тимирязева- ул.Жарокова- ул.БАСЕНОВА-Гагарина пр.,POINT (76.89894658910971 43.22376258857734)
3312.0,Бостандыкский,ул.Тимирязева- Гагарина пр.- ул.БАСЕНОВА- ул.Розыбакиева,POINT (76.89417644772642 43.22344121768674)
340.0,Бостандыкский,ул.Джандосова- ул.ЛИНИЯ-20- ул.БАСЕНОВА-р.Большая Алматинка,POINT (76.88593649263866 43.22205011549866)
77.0,Турксибский,Акан Серы- Загородная- Терехина- Дулатова Мыржакыпа,POINT (76.94516695538739 43.313437938106794)
95.0,Турксибский,"дулатова,Акан серы,новослободская,Терехина",POINT (76.94535260849918 43.31278534214467)
118.0,Бостандыкский,ул.УТЕПОВА- ЦДС Атакент- ул.СИ СИНХАЯ- ул.Жарокова,POINT (76.90437386830298 43.21784284439581)
158.0,Жетысуский,р.Есентай (Весновка)- шоссе Северное Кольцо- ул.Таймырская,POINT (76.9300730837943 43.34985030795245)
973.0,Жетысуский,ул.Талант- ул.Геологов- шоссе Северное кольцо,POINT (76.9255788301242 43.35258202007981)
1086.0,Жетысуский,мкр.Кокжиек,POINT (76.92560330502604 43.35510685667291)
365.0,Алатауский,мкр.Шанырак-1- ул.ЖАНАТАЛАП- ул.КАЙНАР- ул.УТЕМИСУЛЫ,POINT (76.86577984589337 43.289531089063274)
291.0,Турксибский,Международная- чимкентская-мопра,POINT (76.94800835289868 43.31486283346881)
27.0,Жетысуский,ул.Бурундайская,POINT (76.93114754240993 43.33827805375006)
253.0,Наурызбайский,5 улица (Калкаман- 2)- ул.Кенесбаева (Калкаман-2)- р.Каргалы-  ул.Буланды (Каменка-3),POINT (76.83547130403987 43.19931220586225)
1386.0,Жетысуский,мкр.Кокжиек,POINT (76.92278922430683 43.3562183340522)
836.0,Жетысуский,мкр.Кокжиек,POINT (76.92318305371009 43.357509757635924)
1904.0,Жетысуский,мк.Кокжиек,POINT (76.92258561803682 43.358895151763285)
307.0,Наурызбайский,2 улица (Калкаман- 2)- ул.Кенесбаева (Калкаман-2)- 5 улица(Калкаман-2),POINT (76.83142140885013 43.19745550639169)
2254.0,Жетысуский,мкр.Кокжиек,POINT (76.91948759756353 43.3571132342154)
571.0,Наурызбайский,ул.Кунаева мкр.Таусамалы- Нуршаикова мкр.Таусамалы- ул.Саке батыра мкр.Таусамалы- ул.Сагдиева мкр.Таусамалы,POINT (76.8304881455231 43.19071348329246)
109.0,Жетысуский,ул.Постышева- ул.Феоктистова- ул.Венеры- ул.Леонова,POINT (76.93222957264494 43.355756945294324)
82.0,Наурызбайский,сад.тов.Жайлау- сад.тов.Каргалинка,POINT (76.84249078589706 43.19414176599583)
413.0,Наурызбайский,ул.Кенесбаева (Калкаман- 2)-2 улица (Калкаман-2)- ул.Жигер мкр.Калкаман-2- ул.Ашимова мкр.Калкаман-2,POINT (76.82738915382448 43.19551156937458)
702.0,Жетысуский,ул.Жайсан- шоссе Северное Кольцо,POINT (76.93619581447446 43.35442310533884)
5.0,Жетысуский,ул.Жайсан,POINT (76.93783350960061 43.35672507089252)
246.0,Турксибский,Терехина- Котельникова-акан серы-новослободская,POINT (76.9457234707887 43.31170969654745)
612.0,Наурызбайский,ул.Айтматова мкр.Таусамалы- ул.Ашимова (Калкаман-2)- ул.Кунаева мкр.Таусамалы- ул.Ниязбекова мкр.Таусамалы,POINT (76.8239577099868 43.19242682229601)
552.0,Наурызбайский,ул.Айтматова мкр.Таусамалы- ул.Ниязбекова мкр.Таусамалы- ул.Кунаева мкр.Таусамалы-сад.тов.Алмалы,POINT (76.82017375830218 43.19065954528092)
400.0,Наурызбайский,ул.Дрозда мкр.Таусамалы- ул.Джандосова- ул.Коркем мкр.Таусамалы- ул.Кулболды мкр.Таусамалы- ул.Кулболды мкр.Таусамалы,POINT (76.83867818359181 43.19386992902041)
286.0,Наурызбайский,ул.Джандосова- ул.Дрозда мкр.Таусамалы ул.Садуакасулы мкр.Таусамалы- ул.Нуршаикова мкр.Таусамалы,POINT (76.83536594419036 43.19230957849744)
123.0,Жетысуский,ул.Гамарника- ул.Постышева,POINT (76.93100886493592 43.35962470695586)
96.0,Жетысуский,ул.Постышева- ул.Сиреневая- ул.Якира ,POINT (76.93267112893918 43.35951817841282)
130.0,Жетысуский,ул.Якира- ул.Мангышлакская- ул.Шекспира,POINT (76.93398472151199 43.35905007813994)
237.0,Наурызбайский,ул.Сейдимбека (Курамыс)- сад.тов.Альма-Матер,POINT (76.85452204347996 43.19189208718062)
702.0,Турксибский,Сейфуллина пр.- Акан Серы- Глазунова,POINT (76.94293898833068 43.305229712518624)
110.0,Жетысуский,ул.Постышева- ул.Леонова- ул.Венеры- ул.Терешковой,POINT (76.93292428393421 43.35481422176637)
91.0,Жетысуский,ул.Постышева- ул.Беляева- ул.Венеры- ул.Феоктистова,POINT (76.93283349087334 43.356393559172766)
515.0,Наурызбайский,сад.тов.Радуга- сад.тов.Ветеран-5- сад.тов.Дария- сад.тов.Просвещенец,POINT (76.84481407228415 43.195947581885626)
125.0,Жетысуский,ул.Постышева- ул.Быковского- ул.Венеры- ул.Беляева,POINT (76.93296035897629 43.35705707194871)
88.0,Жетысуский,р.Есентай (Весновка)- ул.Гамарника- ул.Постышева,POINT (76.93058851063385 43.357571096475944)
391.0,Наурызбайский,сад.тов.Сельхозрабатник- сад.тов.Алатау,POINT (76.84883139681942 43.19434340514375)
163.0,Жетысуский,ул.Постышева- ул.Якира- ул.Шекспира- ул.Бковского,POINT (76.93276840278511 43.35802456040878)
231.0,Жетысуский,ул.Шекспира- ул.Мангышлакская- ул.Жайсан- ,POINT (76.93586866976285 43.35829503289884)
147.0,Жетысуский,ул.Шекспира- ул.Куусенина- ул.Жайсан- ул.Мангышлакская,POINT (76.93672822330463 43.359438250637226)
535.0,Наурызбайский,сад.тов.Кооператор,POINT (76.8550389079233 43.181221518214414)
606.0,Наурызбайский,ул.Сейдимбека (Курамыс)- р. Каргалы- ул.Балбырауын (Курамыс),POINT (76.84525046795717 43.1877769264336)
676.0,Бостандыкский,ул.УТЕПОВА- ул.Жарокова- ул.СИ СИНХАЯ-Гагарина пр.,POINT (76.89974635183619 43.21757702739818)
101.0,Жетысуский,р.Есентай (Весновка)- ул.Гамарника- ул.Постышева- ,POINT (76.93115596040752 43.36146595204017)
107.0,Жетысуский,ул.Постышева- ул.Куусенина- ул.Якира- ул.Сиреневая,POINT (76.93310394074281 43.361383375444255)
85.0,Наурызбайский,"сад.тов.Дружба,сад.тов.Дархан-  ул.Аскарова мкр.Рахат- сад.тов.За здоровье и труд",POINT (76.86049214457844 43.19334270551877)
170.0,Жетысуский,ул.Якира- ул.Куусенина- ул.Шекспира- ул.Мангышлакская,POINT (76.93471601014144 43.36051294345364)
773.0,Наурызбайский,ул.Аскарова мкр.Рахат- ул.Култобе мкр.Рахат-мкр.Рахат-сад.тов.Жаншуак,POINT (76.86322212264444 43.18681439532992)
75.0,Наурызбайский,Жилой массив Ушконыр (Каргалы)- мкр.Каргалы,POINT (76.85811981564174 43.18442365189337)
204.0,Наурызбайский,ул.Козыбасы мкр.Карагайлы- ул.Жана мкр.Карагайлы- ул.Балбырауын мкр.Курамыс- ул.Сейтбекова мкр.Карагайлы,POINT (76.84214402947777 43.181476269846605)
155.0,Жетысуский,р.Карасу- ул.Дыбенко- ул.Шекспира- ул.Куусенина,POINT (76.93593996070587 43.361767731787815)
62.0,Жетысуский,мкр.Кемел,POINT (76.93849318842169 43.36267040143281)
777.0,Бостандыкский,ул.БАЙКАДАМОВА- Гагарина пр.- ул.БЕРЕЗОВСКОГО- ул.Розыбакиева,POINT (76.89552227858573 43.21295839498432)
547.0,Наурызбайский,ул.Сейтбекова- р. Каргалы-  ул.Баимбетова мкр.Карагайлы- ул.Надырова мкр.Карагайлы,POINT (76.84963647639735 43.18100075864941)
155.0,Жетысуский,мкр.Кемел,POINT (76.93768683587311 43.363420844389005)
511.0,Наурызбайский,ул.Сейтбекова (Карагайлы)- ул.Надырова (Карагайлы)- ул.Мешит (Карагайлы),POINT (76.84450897390415 43.17838956714627)
274.0,Наурызбайский,ул.Надырова мкр.Карагайлы- ул.Баимбетова мкр.Карагайлы-р. Каргалы,POINT (76.85096735521714 43.1784267722237)
998.0,Наурызбайский,ул.Мешит мкр.Карагайлы- ул.Надырова мкр.Карагайлы- ул.Кулиман мкр.Карагайлы- ул.Саудакент мкр.Карагайлы,POINT (76.8466154635948 43.175433215116946)
1093.0,Бостандыкский,ул.БАЙКАДАМОВА- ул.Розыбакиева- ул.БЕРЕЗОВСКОГО- ул.КЕКИЛБАЙУЛЫ,POINT (76.89085265463746 43.21264767527911)
1392.0,Бостандыкский,ул.УТЕПОВА- Гагарина пр.- ул.ШОПЕНА- ул.РАДОСТОВЦА- ул.Розыбакиева,POINT (76.89489044331377 43.217582021094096)
