population,RAYON,NOTE,geometry
294.0,Жетысуский,ул.Куратова- ул.Коперника- пр.Райымбека,POINT (76.96504143927177 43.273650882640005)
277.0,Жетысуский,ул.Потанина- ул.Болтирик Шешена- ул.Баишева- ул.Пестковского,POINT (76.95625740920468 43.27614064261588)
320.0,Жетысуский,ул.Шерхана Муртазы- ул.Болтирик Шешена- ул.Станиславскаого,POINT (76.96147188088104 43.2762264087826)
296.0,Жетысуский,ул.Баишева- ул.Болтирик Шешена- ул.Шерхана Муртазы- ул.Пестковского,POINT (76.95909266742477 43.276352931022444)
33.0,Алатауский,мкр.Болашак,POINT (76.89993056183395 43.345583921920216)
175.0,Жетысуский,ул.Грибоедова- ул. Сидоркина- ул.Натарова- ул.Кулыншак,POINT (76.95232745594733 43.27885720527947)
481.0,Жетысуский,ул.Есенова Шахмардана- ул.Колпаковского- ул.Жангильдина- пр.Райымбека,POINT (76.95497172061366 43.27222016644154)
486.0,Жетысуский,ул.Грибоедова- улБолтирик Шешена- ул.Потанина- ул.Пестковского,POINT (76.95312988492613 43.27586533628744)
14.0,Жетысуский,пр.Суюнбая- ул.Колпаковского- ул.Есенова Шахмардана- пр.Райымбека,POINT (76.95190233711946 43.27200193557611)
169.0,Жетысуский,пр.Суюнбая- ул.Пестковского- ул.Есенова Шахмардана- ул.Колпаковского,POINT (76.9513796738477 43.27369351975707)
227.0,Жетысуский,пр.Суюнбая- ул.Болтирик Шешена- ул.Грибоедова- ул.Пестковского,POINT (76.94978469678965 43.275276667149285)
134.0,Жетысуский,ул.Станиславского- ул.Серпер- ул.Таирова- ул-Татибекова,POINT (76.96437984999118 43.277868315484746)
169.0,Жетысуский,ул.Шерхана Муртазы- ул.Кулыншак- ул.Станиславского- ул.Болтирик Шешена,POINT (76.9619500957255 43.27798785705516)
294.0,Жетысуский,ул.Баишева- ул.Кулыншак- ул.Шерхана Муртазы- ул.Болтирик Шешена,POINT (76.95896106204708 43.2780101989413)
198.0,Жетысуский,ул.Потанина- ул.Кулыншак- ул.Баишева- ул.Болтирик Шешена,POINT (76.95602355956044 43.277789904914435)
262.0,Жетысуский,ул.Грибоедова- ул.Кулыншак- ул.Потанина- ул.Болтирик Шешена,POINT (76.95282739951512 43.277530610830425)
47.0,Жетысуский,пр.Суюнбая- ул.Сидоркина- ул.Грибоедова- ул.Болтирик Шешена,POINT (76.94947631483201 43.277921891105905)
265.0,Жетысуский,ул.Грибоедова- ул.Бондаренко- ул.Натарова- ул.Сидоркина,POINT (76.9520903535687 43.280400712989916)
333.0,Жетысуский,ул.Баишева- ул.Сидоркина- ул.Хамиди Латифа- ул.Бондаренко- ул.Репина- ул.Кулыншак,POINT (76.96005855555161 43.279759770264526)
294.0,Жетысуский,ул.Натарова- ул.Сидоркина- ул.Баишева- ул.Кулыншак,POINT (76.95572041241563 43.27911296025801)
281.0,Жетысуский,ул.Натарова- ул.Бондаренко- ул.Гастелло- ул.Сидоркина,POINT (76.95492633989471 43.28066617172771)
295.0,Жетысуский,ул.Гастелло- ул.Юондаренко- ул.Хамиди Латифа- ул.Сидоркина,POINT (76.95753082761182 43.28049366926143)
251.0,Жетысуский,ул.Репина- ул.Серафимовича- ул.Омская- ул.Станиславского- ул.Кулыншак,POINT (76.9629793679114 43.28022251632642)
151.0,Жетысуский,ул.Станиславского- ул.Таирова- ул.Серпер,POINT (76.96557416066153 43.28018816853001)
275.0,Жетысуский,ул.Матросова- ул.Абаканская- ул.Джетысуйская- ул.Бондаренко,POINT (76.9591087904426 43.28207409956446)
487.0,Алмалинский,ул.Шакарима - ул.Волховская - ул.Есенжанова - б.Алматинка,POINT (76.87116691714706 43.240829244164885)
1380.0,Медеуский,пр.Назарбаева- пр.Райымбека-  ул.Кунаева- ул.Маметовой,POINT (76.94662073899671 43.26888478588563)
1052.0,Медеуский,ул.Кунаева- пр.Райымбека- ул.Пушкина- ул.Маметовой,POINT (76.95003459719075 43.269089723596)
427.0,Медеуский,ул.Пушкина- пр.Райымбека - ул.Нусупбекова- ул.Маметовой,POINT (76.95328733673678 43.269337456714084)
1570.0,Медеуский,ул.Пушкина- ул.Маметовой- ул.Нусупбекова- ул.Макатаева,POINT (76.95366200960366 43.266247464840035)
1238.0,Медеуский,ул.Нусупбекова- ул.Ашимбаева- ул.ЖАНГИЛЬДИНА- ул.Макатаева,POINT (76.95639634408316 43.266635356308576)
240.0,Алмалинский,ул.Есенжанова - ул.Брусиловского - ул.Малая Абая - ул.Прокофьева,POINT (76.87718198828178 43.23928037877602)
1142.0,Медеуский,пр.Назарбаева- пр.Жибек жолы-  ул.Кунаева- ул.Гоголя,POINT (76.9476043604041 43.26118712117291)
347.0,Медеуский,ул.Пушкина- пр.Жибек жолы- ул.Зенкова- ул.Гоголя,POINT (76.9544064743176 43.261607609697194)
545.0,Медеуский,пр.Назарбаева- ул.КАЗЫБЕК БИ- ул.Кунаева- ул.БОГЕНБАЙ БАТЫРА,POINT (76.94833088772296 43.25503800916812)
1131.0,Медеуский,ул.Кунаева- ул.КАЗЫБЕК БИ-пр.Достык- ул.Толе би,POINT (76.95254869583044 43.25617214151499)
83.0,Медеуский,ул.Кунаева- пр.Жибек жолы- ул.Пушкина- ул.Гоголя,POINT (76.95100142071178 43.26136606958519)
1005.0,Медеуский,пр.Назарбаева- ул.Гоголя- ул.Кунаева- ул.КАЗЫБЕК БИ,POINT (76.94797016068031 43.258403414855465)
2026.0,Медеуский,ул.Абдуллиных- ул.Гоголя- ул.БУЗУРБАЕВА- ул.КАЗЫБЕК БИ,POINT (76.96146369575027 43.259289103216446)
460.0,Медеуский,ул.БАРИБАЕВА- ул.Гоголя-р.Малая Алматинка- ул.КАЗЫБЕК БИ,POINT (76.963931181564 43.259600445798156)
829.0,Медеуский,ул.БАРИБАЕВА- ул.Макатаева-р.Малая Алматинка- пр.Жибек жолы,POINT (76.96473998785576 43.26431927227419)
730.0,Медеуский,ул.Абдуллиных- ул.Макатаева- ул.БАРИБАЕВА- пр.Жибек жолы,POINT (76.96087247840869 43.26406292497702)
1397.0,Медеуский,ул.Абдуллиных- пр.Жибек жолы- ул.БАРИБАЕВА- ул.Гоголя,POINT (76.96112603834808 43.262028165465644)
334.0,Медеуский,ул.Зенкова- ул.Макатаева- ул.Абдуллиных-пр.Жибек жолы,POINT (76.95753039359066 43.26385089617734)
539.0,Медеуский,ул.Зенкова- ул.БОГЕНБАЙ БАТЫРА-р.Малая Алматинка- ул.Кабанбай батыра,POINT (76.95898733594532 43.252665582575524)
768.0,Медеуский,пр.Назарбаева- ул.БОГЕНБАЙ БАТЫРА- ул.Кунаева- ул.Кабанбай батыра,POINT (76.94884198848641 43.25165238621635)
1280.0,Медеуский,ул.Кунаева- ул.БОГЕНБАЙ БАТЫРА- ул.Пушкина- ул.Кабанбай батыра,POINT (76.95221335626442 43.251888862165316)
1396.0,Медеуский,ул.Пушкина- ул.БОГЕНБАЙ БАТЫРА- ул.Зенкова- ул.Кабанбай батыра,POINT (76.95559216287913 43.25211995032507)
892.0,Медеуский,пр.Назарбаева- ул.Кабанбай батыра- ул.Кунаева- ул.Шевченко,POINT (76.94925195831266 43.24829047811304)
609.0,Медеуский,ул.Кунаева- ул.Кабанбай батыра- ул.Пушкина- ул.Шевченко,POINT (76.95260748296715 43.24852647347611)
730.0,Медеуский,ул.Кунаева- ул.Толе би-пр.Достык- ул.БОГЕНБАЙ БАТЫРА,POINT (76.95273454901692 43.25450273889971)
234.0,Медеуский,пр.Достык- ул.КАЗЫБЕК БИ- ул.Абдуллиных- ул.Толе би,POINT (76.95755185585107 43.2565101939744)
816.0,Медеуский,пр.Достык- ул.Толе би- ул.Абдуллиных- ул.БОГЕНБАЙ БАТЫРА,POINT (76.95771249374926 43.254828245173236)
443.0,Медеуский,пр.Назарбаева- пр.Абая-  ул.УАЛИХАНОВА- ул.САТПАЕВА,POINT (76.95114176056833 43.240749243044576)
1667.0,Медеуский,ул.Сатпаева- пр.Достык- мкр.Самал-1,POINT (76.95620416599972 43.23698242966217)
1368.0,Медеуский,пр.Назарбаева- ул.Жолдасбекова-Бульвар Мендикулова-мкр.Самал-2,POINT (76.95139280468753 43.232402431508)
1076.0,Медеуский,Бульвар Мендикулова- ул.Жолдасбекова- пр.Достык- мкр.Самал-2,POINT (76.95605657020799 43.23272843247431)
1293.0,Медеуский,ул.МИТИНА- пр.Достык- ул.ОМАРОВОЙ-р.Малая Алматинка,POINT (76.96578678963836 43.2203969541814)
1605.0,Медеуский,ул.Пушкина- ул.Кабанбай батыра- ул.Зенкова- ул.Шевченко,POINT (76.95602109972666 43.24874150619559)
897.0,Медеуский,ул.Зенкова- ул.Кабанбай батыра- ул.Курмангалиева- ул.Шевченко,POINT (76.9594304387728 43.248905801090615)
